Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet,selected
18.358545,3.6179314,19.546118,73.78137,0,43.346184,50.46037,0,9800,3.4961853,36.43162,2.4,2,8409,1,0,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,26.096016,4.8,4,3182,2,0,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,6.4,4,3178,1,1,0,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,2.4,4,2882,1,0,1,0,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,22.834013,4.4,4,3177,1,0,0,1,0,0,0,0,0,0,0,0,4
16.884405,2.8943448,19.546118,55.90802,0,38.463646,55.612667,0,9800,3.4961853,24.769098,4.4,4,38463,1,0,0,0,1,0,0,0,0,0,0,0,5
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,7.9,4,5807,1,0,0,0,0,1,0,0,0,0,0,0,4
24.883974,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,5.3765044,2607,1,0,0,0,0,0,1,0,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,7,50,1,0,0,0,0,0,0,1,0,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,49.788387,2.4,4,2583,1,0,0,0,0,0,0,0,1,0,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.371126,2.4,4,2880,1,0,0,0,0,0,0,0,0,1,0,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,3094,1,0,0,0,0,0,0,0,0,0,1,0,4
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,2882,1,0,0,0,0,0,0,0,0,0,0,1,4
16.884405,2.8943448,19.546118,55.90802,0,38.463646,55.612667,0,9800,3.4961853,24.769098,4.4,4,38463,1,0,0,0,1,0,0,0,0,0,0,0,5
16.057219,2.3154757,19.546118,33.728333,0,32.814014,61.37029,0,9800,3.4961853,23.39734,6.4,6,27792,1,0,0,0,2,0,0,0,0,0,0,0,5
41.526993,1.8523806,19.546118,17.206074,0,33.423527,61.396812,0,9800,3.4961853,22.235218,8.4,8,12597,1,0,0,0,3,0,0,0,0,0,0,0,5
52.15522,1.4819044,19.546118,11.708823,0,37.664433,58.113647,0,9800,3.4961853,21.48167,10.4,10,5088,1,0,0,0,4,0,0,0,0,0,0,0,5
52.15522,1.4819044,19.546118,11.708823,0,37.664433,58.113647,0,9800,3.4961853,20.794025,12.4,12,5088,1,0,0,0,5,0,0,0,0,0,0,0,5
21.75816,4.132496,19.88863,15.051933,0,25.173077,65.14559,0,9800,3.2398,36.43162,2.4,2,9594,1,0,0,0,0,0,0,0,0,0,0,0,4
20.035538,3.3059964,19.88863,9.60007,0,30.50777,62.463142,0,9800,3.2398,24.769098,4.4,4,11858,1,0,0,0,1,0,0,0,0,0,0,0,5
20.353045,2.644797,19.88863,8.046648,0,34.81799,60.233723,0,9800,3.2398,23.39734,9.9,6,8993,1,0,0,0,1,1,0,0,0,0,0,0,9
27.308477,2.1158376,19.88863,9.704047,0,31.116291,64.44588,0,9800,3.2398,22.513159,9.9,8,5930,1,0,0,0,1,1,0,0,0,1,0,0,0
36.361103,1.6926701,19.88863,11.447556,0,27.740467,68.360344,0,9800,3.2398,22.522095,12.299999,10,2829,2,0,0,0,1,1,0,0,0,1,0,0,9
36.361103,1.6926701,19.88863,11.447556,0,27.740467,68.360344,0,9800,3.2398,21.96702,12.299999,12,2829,2,0,0,0,1,1,0,0,0,2,0,0,12
22.115438,4.498011,16.41475,10.786949,0,26.068378,64.10257,0,9800,3.5232117,36.43162,2.4,2,10437,1,0,0,0,0,0,0,0,0,0,0,0,4
20.66101,3.5984087,16.41475,7.7667584,0,31.942091,60.856785,0,9800,3.5232117,24.769098,4.4,4,10076,1,0,0,0,1,0,0,0,0,0,0,0,5
22.334538,2.8787267,16.41475,5.776315,0,30.854342,62.5178,0,9800,3.5232117,23.39734,9.9,6,8121,1,0,0,0,1,1,0,0,0,0,0,0,9
27.523285,2.3029814,16.41475,62.925465,0,50.616352,46.418484,0,9800,3.5232117,22.513159,9.9,8,5241,1,0,0,0,1,1,0,0,0,1,0,0,0
27.523285,2.3029814,16.41475,62.925465,0,50.616352,46.418484,0,9800,3.5232117,21.687944,11.9,10,5241,1,0,0,0,2,1,0,0,0,1,0,0,12
32.67962,1.842385,16.41475,54.237,0,45.06248,52.023975,0,9800,3.5232117,21.687944,11.9,10,7881,1,0,0,0,2,1,0,0,0,1,0,0,12
59.42117,1.473908,16.41475,43.26646,0,37.61879,59.39833,0,9800,3.5232117,20.95224,17.4,12,6554,1,0,0,0,2,2,0,0,0,1,0,0,4
17.878508,3.8808749,20.80858,13.116577,0,27.117502,63.00837,0,9800,3.5356328,36.43162,2.4,2,9015,1,0,0,0,0,0,0,0,0,0,0,0,4
16.45827,3.1046996,20.80858,8.679314,0,34.05964,58.610226,0,9800,3.5356328,24.769098,4.4,4,10764,1,0,0,0,1,0,0,0,0,0,0,0,5
16.408167,2.4837596,20.80858,7.8153954,0,33.331535,59.854782,0,9800,3.5356328,23.39734,9.9,6,8567,1,0,0,0,1,1,0,0,0,0,0,0,9
22.276283,1.9870076,20.80858,8.231247,0,32.28504,61.50645,0,9800,3.5356328,22.513159,9.9,8,5830,1,0,0,0,1,1,0,0,0,1,0,0,4
22.276283,1.9870076,20.80858,8.231247,0,32.28504,61.50645,0,9800,3.5356328,21.687944,11.9,10,5830,1,0,0,0,2,1,0,0,0,1,0,0,5
30.137281,1.5896059,20.80858,8.361397,0,31.34802,63.030495,0,9800,3.5356328,20.95224,17.4,12,2494,1,0,0,0,2,2,0,0,0,1,0,0,11
