Ammonia,Glucose,Phosphates,Hydrogensulfide,Oxygen,Carbondioxide,Nitrogen,Sunlight,Temperature,Iron,Speed,ATP Production,ATP Consumption,Population,cytoplasm,hydrogenase,metabolosomes,thylakoids,chemosynthesizing proteins,rusticyanin,nitrogenase,toxisome,flagellum,perforator pilus,chemoreceptor,slime jet
18.358545,3.6179314,19.546118,73.78137,0,43.346184,50.46037,0,9800,3.4961853,36.43162,2.4,2,8409,1,0,0,0,0,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,26.096016,4.8,4,3182,2,0,0,0,0,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,6.4,4,3178,1,1,0,0,0,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.196154,2.4,4,2882,1,0,1,0,0,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,22.834013,4.4,4,3177,1,0,0,1,0,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,55.90802,0,38.463646,55.612667,0,9800,3.4961853,24.769098,4.4,4,38463,1,0,0,0,1,0,0,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,7.9,4,5807,1,0,0,0,0,1,0,0,0,0,0,0
24.883974,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,5.3765044,2607,1,0,0,0,0,0,1,0,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,4.4,7,50,1,0,0,0,0,0,0,1,0,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,49.788387,2.4,4,2583,1,0,0,0,0,0,0,0,1,0,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,25.371126,2.4,4,2880,1,0,0,0,0,0,0,0,0,1,0,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,3094,1,0,0,0,0,0,0,0,0,0,1,0
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,24.769098,2.4,4,2882,1,0,0,0,0,0,0,0,0,0,0,1
16.884405,2.8943448,19.546118,56.82251,0,39.113064,55.060177,0,9800,3.4961853,26.096016,4.8,4,3182,2,0,0,0,0,0,0,0,0,0,0,0
17.94171,2.3154757,19.546118,42.42249,0,32.49832,61.135834,0,9800,3.4961853,25.59084,7.2000003,6,1406,3,0,0,0,0,0,0,0,0,0,0,0
45.76689,1.8523806,19.546118,34.951492,0,32.014122,62.147312,0,9800,3.4961853,25.014618,9.6,8,654,4,0,0,0,0,0,0,0,0,0,0,0
71.919235,1.4819044,19.546118,29.895987,0,32.026,62.66893,0,9800,3.4961853,24.703922,12,10,460,5,0,0,0,0,0,0,0,0,0,0,0
71.919235,1.4819044,19.546118,29.895987,0,32.026,62.66893,0,9800,3.4961853,24.338459,14.4,12,460,6,0,0,0,0,0,0,0,0,0,0,0
91.2901,1.1855235,19.546118,25.26926,0,31.045862,64.17066,0,9800,3.4961853,25.658926,16.8,14,234,7,0,0,0,0,0,0,0,0,0,0,0
97.17546,0.94841874,19.546118,24.607138,0,29.65048,66.180954,0,9800,3.4961853,25.658926,16.8,14,167,8,0,0,0,0,0,0,0,0,0,0,0
